code,avg_amount_yi
300308,167.76
300502,154.69
300476,111.09
300750,108.72
688256,108.48
300274,100.65
601138,99.62
300059,88.62
300394,84.8
002475,82.04
603986,79.23
601899,78.52
600111,72.03
688041,69.24
688981,68.28
002050,64.78
002384,64.57
000988,60.32
688008,59.83
600519,55.71
000063,55.3
300058,52.98
002594,50.22
600089,49.91
002463,49.53
603019,48.59
601318,45.13
300136,43.57
300475,43.43
688525,43.18
002837,43.08
603259,42.77
000547,41.7
603993,41.52
600030,41.16
301308,40.96
600487,40.84
603799,40.64
002460,40.57
002281,40.52
600118,40.28
000977,40.11
002202,39.61
688012,39.42
300014,39.33
002371,39.03
002131,39.01
300450,38.52
300803,37.86
002156,37.74
600410,37.67
600879,36.85
600580,36.76
001309,36.48
002709,36.24
600584,34.81
600105,34.73
688521,34.69
300033,34.53
002261,33.85
600276,33.76
300418,33.53
300548,33.4
002466,33.18
002195,32.8
603083,32.64
600522,32.51
600036,31.77
601600,31.53
300442,30.97
601012,30.83
300604,30.47
600150,30.28
002600,30.1
600498,30.09
601127,29.94
002241,29.61
002407,28.93
300433,28.78
600010,28.58
300115,28.56
000657,28.39
688313,28.27
300620,27.74
000725,27.41
600183,27.22
300857,27.17
002230,27.06
000981,27.05
600418,26.83
300395,26.8
601288,26.78
300223,26.65
300570,26.56
601888,26.49
002074,26.41
000021,26.16
600900,25.95
601689,25.62
000938,25.42
000333,25.36
600309,25.35
300456,25.33
000792,25.3
688110,25.3
000831,25.25
300017,25.14
300124,25.02
600549,24.97
601398,24.76
002428,24.73
601869,24.65
601179,24.56
000592,24.45
688347,24.29
688498,24.21
000066,24.12
002402,23.9
002602,23.82
000426,23.81
002436,23.79
600392,23.74
000858,23.51
603501,23.3
002916,23.17
601698,23.17
300757,23.1
002130,22.39
300390,22.05
600601,21.95
300468,21.77
601606,21.68
600895,21.56
601727,21.4
002149,21.35
600362,21.34
300339,21.25
000617,21.17
002008,21.14
002759,21.02
000338,20.79
000630,20.75
002851,20.74
603228,20.69
300346,20.65
601211,20.6
600988,20.58
600875,20.26
688111,20.14
300724,20.07
002104,19.86
600703,19.86
601857,19.74
300085,19.73
300207,19.7
002714,19.64
002938,19.63
002465,19.61
601360,19.61
600489,19.49
601688,19.25
002639,19.21
600547,19.17
603881,19.11
300748,19.06
300102,19.0
000100,18.95
002716,18.78
688072,18.73
600143,18.68
000559,18.53
002812,18.48
688048,18.48
002049,18.42
300364,18.37
301171,18.31
002335,18.21
603667,18.21
600406,18.09
600438,18.0
600330,17.96
002080,17.87
603893,17.81
300751,17.79
600021,17.72
688205,17.71
002565,17.67
601669,17.54
002415,17.42
300065,17.42
002155,17.36
300342,17.27
002185,17.26
002240,17.2
688629,17.18
002506,17.07
300170,17.06
600938,17.04
000651,17.0
601166,16.91
300762,16.85
600989,16.83
002792,16.79
601868,16.72
601988,16.72
002738,16.7
300773,16.7
600673,16.61
002413,16.47
603920,16.44
688183,16.44
600711,16.4
600760,16.4
002342,16.36
600176,16.35
601208,16.3
601162,16.24
002558,16.1
300438,16.05
600589,16.0
600570,15.98
301205,15.95
300661,15.68
300251,15.59
600343,15.59
300383,15.58
300760,15.51
002340,15.37
002361,15.36
688195,15.34
688027,15.3
300139,15.29
600096,15.19
600893,15.18
000807,15.12
002555,14.98
600031,14.95
300408,14.86
300738,14.86
301358,14.86
002222,14.85
002015,14.74
301217,14.74
301511,14.71
300763,14.7
002625,14.69
600699,14.65
002549,14.62
603601,14.55
000960,14.54
600050,14.53
600460,14.48
601872,14.39
601601,14.31
000158,14.24
300766,14.24
002028,14.09
600839,14.09
002378,14.08
300666,14.08
002273,14.05
605117,14.05
600246,14.04
002364,14.01
600157,13.97
002611,13.93
300672,13.92
300255,13.87
300458,13.84
600887,13.77
601336,13.74
002400,13.62
000878,13.59
301526,13.54
601212,13.52
688766,13.5
688122,13.45
301396,13.42
601919,13.41
601088,13.38
002471,13.37
600219,13.32
300432,13.28
000776,13.25
002173,13.24
002115,13.21
600884,13.18
300199,13.12
300409,13.1
600930,13.08
603659,13.01
688676,13.0
301005,12.93
600919,12.92
600016,12.89
001267,12.83
600028,12.83
603256,12.82
002326,12.81
000737,12.79
300870,12.77
601168,12.76
688017,12.76
000901,12.74
688158,12.74
601933,12.69
002536,12.68
300260,12.67
302132,12.66
300316,12.65
603516,12.63
300827,12.62
002456,12.6
603119,12.58
002353,12.52
300118,12.4
688167,12.36
000070,12.33
600986,12.31
000001,12.29
300568,12.26
300846,12.24
002245,12.22
002648,12.17
000568,12.15
300436,12.15
603629,12.13
601328,12.12
300007,12.11
000034,12.1
300782,12.05
600415,12.05
300073,12.01
002366,11.99
600941,11.97
603296,11.95
603686,11.94
002409,11.92
601668,11.92
601020,11.82
600259,11.81
002317,11.77
600967,11.74
000681,11.73
601696,11.72
603300,11.69
600550,11.65
300496,11.63
603011,11.61
000969,11.59
002129,11.59
300131,11.57
000933,11.56
300454,11.54
300499,11.53
600809,11.53
688777,11.49
600110,11.46
300037,11.43
300300,11.42
300164,11.36
600151,11.36
300377,11.35
688472,11.33
688343,11.31
002179,11.3
600126,11.27
002497,11.26
688249,11.25
300655,11.24
301236,11.23
002176,11.2
002517,11.19
002865,11.17
002017,11.16
600667,11.16
603179,11.14
300008,11.12
300204,11.09
601615,11.07
601778,11.06
300166,11.05
300373,11.05
601231,10.98
600160,10.95
002484,10.92
002352,10.91
002920,10.9
600206,10.89
603005,10.89
300054,10.88
688126,10.83
301183,10.82
600690,10.8
688123,10.76
002126,10.73
600026,10.72
601985,10.72
603778,10.72
002192,10.71
601100,10.69
002151,10.66
300322,10.66
300657,10.62
600048,10.62
