date,capital_before,capital_after,monthly_return_pct,n_held,best_stock,worst_stock
2024-02-29,9940.0,10322.75,3.85,30,"{'date': Timestamp('2024-02-29 00:00:00'), 'code': '000001', 'weight': 1.0, 'buy_price': 8.2, 'sell_price': 9.18, 'return_pct': 11.95, 'contrib_pct': 0.119, 'action': '持有', 'capital_before': 9940.0, 'capital_after': 10322.747389352313}","{'date': Timestamp('2024-02-29 00:00:00'), 'code': '601390', 'weight': 1.0, 'buy_price': 5.82, 'sell_price': 5.86, 'return_pct': 0.63, 'contrib_pct': 0.006, 'action': '持有', 'capital_before': 9940.0, 'capital_after': 10322.747389352313}"
2024-03-29,10317.79,10368.59,0.49,30,"{'date': Timestamp('2024-03-29 00:00:00'), 'code': '601390', 'weight': 1.0, 'buy_price': 5.86, 'sell_price': 6.47, 'return_pct': 10.39, 'contrib_pct': 0.104, 'action': '持有', 'capital_before': 10317.792470605145, 'capital_after': 10368.588686218767}","{'date': Timestamp('2024-03-29 00:00:00'), 'code': '000002', 'weight': 1.0, 'buy_price': 10.04, 'sell_price': 9.0, 'return_pct': -10.36, 'contrib_pct': -0.104, 'action': '持有', 'capital_before': 10317.792470605145, 'capital_after': 10368.588686218767}"
2024-04-30,10362.37,10662.12,2.89,30,"{'date': Timestamp('2024-04-30 00:00:00'), 'code': '600926', 'weight': 1.0, 'buy_price': 9.98, 'sell_price': 11.59, 'return_pct': 16.11, 'contrib_pct': 0.161, 'action': '持有', 'capital_before': 10362.36753300686, 'capital_after': 10662.115292217193}","{'date': Timestamp('2024-04-30 00:00:00'), 'code': '000002', 'weight': 1.0, 'buy_price': 9.0, 'sell_price': 7.41, 'return_pct': -17.67, 'contrib_pct': -0.177, 'action': '持有', 'capital_before': 10362.36753300686, 'capital_after': 10662.115292217193}"
2024-05-31,10654.44,10921.16,2.5,30,"{'date': Timestamp('2024-05-31 00:00:00'), 'code': '601825', 'weight': 1.0, 'buy_price': 5.88, 'sell_price': 6.88, 'return_pct': 16.86, 'contrib_pct': 0.169, 'action': '持有', 'capital_before': 10654.43856920625, 'capital_after': 10921.158006825042}","{'date': Timestamp('2024-05-31 00:00:00'), 'code': '600104', 'weight': 1.0, 'buy_price': 14.38, 'sell_price': 13.61, 'return_pct': -5.32, 'contrib_pct': -0.053, 'action': '持有', 'capital_before': 10654.43856920625, 'capital_after': 10921.158006825042}"
2024-06-28,10908.77,10919.27,0.1,30,"{'date': Timestamp('2024-06-28 00:00:00'), 'code': '601328', 'weight': 10.0, 'buy_price': 6.24, 'sell_price': 6.61, 'return_pct': 5.96, 'contrib_pct': 0.596, 'action': '持有', 'capital_before': 10908.765508064304, 'capital_after': 10919.268365898744}","{'date': Timestamp('2024-06-28 00:00:00'), 'code': '000002', 'weight': 1.0, 'buy_price': 8.25, 'sell_price': 6.93, 'return_pct': -16.0, 'contrib_pct': -0.16, 'action': '持有', 'capital_before': 10908.765508064304, 'capital_after': 10919.268365898744}"
2024-07-31,10904.2,11169.82,2.44,30,"{'date': Timestamp('2024-07-31 00:00:00'), 'code': '601398', 'weight': 10.0, 'buy_price': 4.99, 'sell_price': 5.39, 'return_pct': 8.03, 'contrib_pct': 0.803, 'action': '持有', 'capital_before': 10904.199775547882, 'capital_after': 11169.818501123158}","{'date': Timestamp('2024-07-31 00:00:00'), 'code': '601169', 'weight': 10.0, 'buy_price': 5.26, 'sell_price': 5.08, 'return_pct': -3.4, 'contrib_pct': -0.34, 'action': '持有', 'capital_before': 10904.199775547882, 'capital_after': 11169.818501123158}"
2024-08-30,11154.4,10989.59,-1.48,30,"{'date': Timestamp('2024-08-30 00:00:00'), 'code': '601988', 'weight': 10.0, 'buy_price': 4.38, 'sell_price': 4.5, 'return_pct': 2.79, 'contrib_pct': 0.279, 'action': '持有', 'capital_before': 11154.404151591601, 'capital_after': 10989.589095570373}","{'date': Timestamp('2024-08-30 00:00:00'), 'code': '601669', 'weight': 1.0, 'buy_price': 5.36, 'sell_price': 4.68, 'return_pct': -12.73, 'contrib_pct': -0.127, 'action': '持有', 'capital_before': 11154.404151591601, 'capital_after': 10989.589095570373}"
2024-09-30,10981.68,12147.49,10.62,30,"{'date': Timestamp('2024-09-30 00:00:00'), 'code': '000002', 'weight': 1.0, 'buy_price': 6.76, 'sell_price': 9.72, 'return_pct': 43.79, 'contrib_pct': 0.438, 'action': '持有', 'capital_before': 10981.676591421005, 'capital_after': 12147.49454965058}","{'date': Timestamp('2024-09-30 00:00:00'), 'code': '601398', 'weight': 10.0, 'buy_price': 5.51, 'sell_price': 5.69, 'return_pct': 3.34, 'contrib_pct': 0.334, 'action': '持有', 'capital_before': 10981.676591421005, 'capital_after': 12147.49454965058}"
2024-10-31,12138.39,11907.65,-1.9,30,"{'date': Timestamp('2024-10-31 00:00:00'), 'code': '601800', 'weight': 1.0, 'buy_price': 9.22, 'sell_price': 9.8, 'return_pct': 6.31, 'contrib_pct': 0.063, 'action': '持有', 'capital_before': 12138.39384294359, 'capital_after': 11907.654347543079}","{'date': Timestamp('2024-10-31 00:00:00'), 'code': '600104', 'weight': 1.0, 'buy_price': 14.55, 'sell_price': 12.8, 'return_pct': -12.03, 'contrib_pct': -0.12, 'action': '持有', 'capital_before': 12138.39384294359, 'capital_after': 11907.654347543079}"
2024-11-29,11900.51,12288.23,3.26,30,"{'date': Timestamp('2024-11-29 00:00:00'), 'code': '600104', 'weight': 1.0, 'buy_price': 12.8, 'sell_price': 17.49, 'return_pct': 36.6, 'contrib_pct': 0.366, 'action': '持有', 'capital_before': 11900.509754934557, 'capital_after': 12288.229787576705}","{'date': Timestamp('2024-11-29 00:00:00'), 'code': '600000', 'weight': 1.0, 'buy_price': 9.55, 'sell_price': 9.18, 'return_pct': -3.86, 'contrib_pct': -0.039, 'action': '持有', 'capital_before': 11900.509754934557, 'capital_after': 12288.229787576705}"
2024-12-31,12278.64,13251.51,7.92,30,"{'date': Timestamp('2024-12-31 00:00:00'), 'code': '601398', 'weight': 10.0, 'buy_price': 5.67, 'sell_price': 6.38, 'return_pct': 12.52, 'contrib_pct': 1.252, 'action': '持有', 'capital_before': 12278.64496834239, 'capital_after': 13251.506521805313}","{'date': Timestamp('2024-12-31 00:00:00'), 'code': '601868', 'weight': 1.0, 'buy_price': 2.3, 'sell_price': 2.25, 'return_pct': -2.14, 'contrib_pct': -0.021, 'action': '持有', 'capital_before': 12278.64496834239, 'capital_after': 13251.506521805313}"
